,TITLE,COMPANY,LOCATION,SALARY
558,Swim Teacher,Wexford Swimming Pool and Leisure Company Ltd,"Wexford, County Wexford",€20.00 - €28.00 per hour
559,Personal Trainer / Fitness Instructor,West Wood Clontarf,"Dublin, County Dublin",€14.00 per hour
560,Certified Gym Instructor/Club Administrator,Tranquillity Leisure and Spa,"Athenry, County Galway",€ Not Disclosed
561,Swimming Teacher,West Wood Leopardstown,"Dublin, County Dublin",€ Not Disclosed
562,Assistant Store Manager,Sports Direct,"Portlaoise, County Laois","€40,500 per annum"
563,Part Time Sales Assistant,Sports Direct,"Ballina, County Mayo",€ Not Disclosed
564,Part Time Sales Assistant,Sports Direct,"Killarney, County Kerry",€ Not Disclosed
565,Part Time Sales Assistant,Sports Direct,"Ballina, County Mayo",€ Not Disclosed
566,Part Time Sales Assistant,Sports Direct,"Dundalk, County Louth",€ Not Disclosed
567,Part Time Sales Assistant,Sports Direct,"Kilkenny, County Kilkenny",€ Not Disclosed
568,Part Time Sales Assistant,Sports Direct,County Leitrim,€ Not Disclosed
569,Temporary Part Time Sales Assistant,Sports Direct,"Tullamore, County Offaly",€ Not Disclosed
570,Temporary Part Time Sales Assistant,Sports Direct,"Sligo, County Sligo",€ Not Disclosed
571,Temporary Part Time Sales Assistant,Sports Direct,"Cork, County Cork",€ Not Disclosed
572,Temporary Part Time Sales Assistant,Sports Direct,County Mayo,€ Not Disclosed
573,Temporary Part Time Sales Assistant,Sports Direct,County Dublin,€ Not Disclosed
574,Part Time Sales Assistant,Sports Direct,"Cork, County Cork",€ Not Disclosed
575,Part Time Sales Assistant,Sports Direct,County Dublin,€ Not Disclosed
576,Part Time Sales Assistant,Sports Direct,"Gorey, County Wexford",€ Not Disclosed
577,Part Time Sales Assistant - Midweek Availability,Sports Direct,"Athlone, County Westmeath",€ Not Disclosed
578,Part Time Sales Assistant,Sports Direct,"Cork, County Cork",€ Not Disclosed
579,Part Time Sales Assistant,Sports Direct,"Limerick, County Limerick",€ Not Disclosed
580,Part Time Sales Assistant,Sports Direct,"Bray, County Wicklow",€ Not Disclosed
581,Part Time Sales Assistant - Midweek Availability,Sports Direct,County Dublin,€ Not Disclosed
582,Part Time Sales Assistant,Sports Direct,"Letterkenny, County Donegal",€ Not Disclosed
583,Delivery Driver,Pure Power Nutrition,"Dublin, County Dublin","€35,000 per annum"
584,Temporary Part Time Sales Assistant,Sports Direct,County Dublin,€ Not Disclosed
585,Cluster Revenue Manager,MHL Hotel Collection,"Dublin, County Dublin",€ Not Disclosed
586,Bar Manager,Pineapple Enterprise SARL,Europe,"€56,332 - €64,852 per annum"
587,Civil Engineer,Noel Group,"Dublin, County Dublin","€60,000 - €70,000 per annum"
588,Store Manager,Connections Group,"Ennis, Clare","€35,000 - €38,000 per annum"
589,Cleaning and Event General Operative,Sport Ireland Facilities,"Blanchardstown, County Dublin",€14.77 per hour
590,Spa Therapist,5* Glenlo Abbey Hotel and Estate,"Galway, Republic of Ireland",€ Not Disclosed
591,Assistant Manager,Connections Group,"Lucan And Pettycanon, County Dublin","€32,000 - €34,000 per annum"
592,Direct Materials Buyer,Link Personnel Services,"Dublin, County Dublin","€55,000 - €59,000 per annum"
593,Recovery Driver,FlexiStaff,"Dublin, County Dublin","€42,000 per annum"
594,Adventure Manager - Outdoor Centre Galway,Richard Lynch Consulting Limited,County Galway,€ Not Disclosed
595,Part Time Sales Assistant,Frasers,"Killarney, County Kerry",€ Not Disclosed
596,Mechanic,FlexiStaff,"Dublin, County Dublin","€46,500 per annum"
597,Recovery Driver,Jacksonstone Recruitment,"Cork, County Cork","€42,000 - €60,000 per annum"
598,Recovery driver,Jacksonstone Recruitment,"Dublin, County Dublin","€42,000 - €60,000 per annum"
599,Front Office Manager,Reliance Recruitment,"Athlone, County Westmeath","€40,000 - €43,000 per annum"
600,Chef,Noel Group,"Waterford, County Waterford","€41,600 - €42,474 per annum"
601,Chef,Noel Group,"Tipperary, County Tipperary","€41,600 - €42,474 per annum"
602,Chefs (all levels),Bracken Court Hotel,"Balbriggan, County Dublin",€ Not Disclosed
603,Chef,Emerald Bites,"Gort, County Galway",€18.00 per hour
604,Agency Chef €18-€20ph,Chef Recruiters,"Limerick, County Limerick","€34,000 - €39,000 per annum"
605,Chef,The Yellow House,"Rathfarnham, County Dublin","€35,000 - €50,000 per annum"
606,Agency Chefs - Immediate Start,Chef Recruiters,"Dublin, County Dublin",€18.00 - €24.00 per hour
607,Chef,Noel Group,"Dublin, County Dublin","€37,440 - €45,760 per annum"
608,Chef,Noel Group,"Dublin, County Dublin","€37,440 - €45,760 per annum"
609,Chef,Excel Recruitment,"Wexford, County Wexford","€37,440 - €41,600 per annum"
610,WOK Chef,Kay's Kitchen,"Blanchardstown, County Dublin",€ Not Disclosed
611,Chef,Noel Group,"Limerick, County Limerick","€37,440 - €45,760 per annum"
612,Chef,Noel Group,"Limerick, County Limerick","€37,440 - €45,760 per annum"
613,Events Chefs South Dublin,Chef Recruiters,"South Dublin, County Dublin","€36,000 - €39,000 per annum"
614,Chef,Excel Recruitment,"Limerick, County Limerick","€37,440 - €41,600 per annum"
615,Chef Job,Excel Recruitment,"Dublin, County Dublin","€37,440 - €41,600 per annum"
616,Agency Chef Roles Leinster,Chef Recruiters,"Dublin, County Dublin",€18.00 - €24.00 per hour
617,Full and Part Time Chefs in Dublin,Chef Recruiters,"South Dublin, County Dublin","€35,000 - €43,000 per annum"
618,Agency Chef €18-€20ph,Chef Recruiters,"South Dublin, County Dublin","€36,000 - €39,000 per annum"
619,Chef Roles,The Firm,County Wexford,"€35,000 - €70,000 per annum"
620,Agency Chef County Limerick,Chef Recruiters,"Limerick, County Limerick","€32,000 - €38,000 per annum"
621,Chef,Noel Group,"Limerick, County Limerick","€37,440 - €45,760 per annum"
622,Chef de Parte Clane co Kildare,Shelbourne Talent Solutions,"Clane, County Kildare",€15.00 - €19.00 per hour
623,Irish Naval Service - Direct Entry Chef,Cpl Resources - TEG,"Cork, County Cork","€49,543 per annum"
624,Chef,Excel Recruitment,"Kilkenny, County Kilkenny","€37,440 - €41,600 per annum"
625,Chefs (All Levels),The Court Yard Hotel,"Lucan And Pettycanon, County Dublin",€ Not Disclosed
626,"Chef - Dun Laoghaire - Institute of Art, Design and Technology",MCG Facilities Management Ireland Ltd,County Dublin,€17.39 per hour
627,Chef,Compass Group.,County Waterford,€14.50 per hour
628,Chef,Compass Group.,County Waterford,€14.50 per hour
629,Chef of All Grades,Tower Hotel Waterford,County Waterford,€ Not Disclosed
630,Chef,Compass Group.,"Cork, County Cork",€16.00 per hour
631,Chef - Dublin - Simon Community,MCG Facilities Management Ireland Ltd,County Dublin,€18.00 per hour
632,Pizza Cheff,Noel Group,"Limerick, County Limerick","€37,000 per annum"
633,Chef de Partie,Clayton Hotel Burlington Road,"Dublin, County Dublin",€ Not Disclosed
634,Chef de Partie,Clayton Hotel Ballsbridge,"Dublin, County Dublin",€ Not Disclosed
635,Chef De Partie,Druids Glen Hotel & Golf Resort,"Wicklow, County Wicklow",€ Not Disclosed
636,Chef de Partie,Clontarf Castle Hotel,"County Dublin, Dublin",€ Not Disclosed
637,Breakfast Chef,Fitzgerald Group Head Office,"Cork, County Cork",€ Not Disclosed
638,Senior Sous Chef in Prominent Donegal Hotel,Reliance Recruitment,"Donegal, County Donegal","€44,000 per annum"
639,Chef de Partie,The Westbury,"Dublin, County Dublin",€ Not Disclosed
640,Senior Chef - Daytime Hours,Chef Recruiters,"Kildare, County Kildare","€35,000 - €36,000 per annum"
641,Chef de Partie,ISS Recruitment,"Newbridge, County Kildare",€17.00 per hour
642,Chef de Partie,Cliff House Hotel,"Ardmore, County Waterford",€ Not Disclosed
643,Chef de partie,Career Vision Recruiters,"Midleton, County Cork","€36,000 per annum"
644,Chef de Partie - With Accommodation,Career Vision Recruiters,"Cavan, County Cavan","€32,000 - €33,000 per annum"
645,Breakfast Chef,Chef Recruiters,"Julianstown, County Meath","€28,000 - €32,000 per annum"
646,Sous Chef - Monday to Friday,Burren Amber,"Dublin, County Dublin","€42,000 - €45,000 per annum"
647,Chefs de partie,Dunraven Arms Hotel,"Adare, County Limerick","€37,500 per annum"
648,Experinced Chef de Partie in DAX Restaurant immediate start.4 days a week,Dax Restaurant,"Dublin, County Dublin","€42,000 - €44,000 per annum"
649,Chef de Partie,Bijou Restaurant,"Dublin, County Dublin",€ Not Disclosed
650,Sous Chef,Burren Amber,"Cavan, County Cavan","€40,000 - €41,000 per annum"
651,Chef De Partie,Westgrove Hotel,"Clane, County Kildare","€35,000 - €45,000 per annum"
652,Chef de Partie €16.50 p/h,Burren Amber,"Killarney, County Kerry","€34,000 per annum"
653,Chef de Partie,Career Vision Recruiters,"Limerick, County Limerick","€35,000 - €37,000 per annum"
654,Chef de Partie,Burren Amber,"Dublin, County Dublin","€33,000 - €35,000 per annum"
655,Chef de Partie,Career Vision Recruiters,County Dublin,"€37,500 - €39,000 per annum"
656,Sous Chef €50k,Burren Amber,"Liberties Of Carlingford, County Louth","€40,000 - €50,000 per annum"
657,Chef de Partie (Asian Cuisine),Burren Amber,"Dublin, County Dublin","€33,000 - €35,000 per annum"
658,Sous Chef,Burren Amber,"Ennis, Clare","€42,000 - €44,000 per annum"
659,Chef de Partie,Career Vision Recruiters,"Cork, County Cork","€35,000 - €36,000 per annum"
660,Chef de Partie,Bang Restaurant,"County Dublin, Dublin",€ Not Disclosed
661,Daytime relief chef de partie,Chef Recruiters,"Dublin, County Dublin","€36,000 - €39,000 per annum"
662,Sous Chef,Sandyford House Bar & Restaurant,"Dublin, County Dublin",€ Not Disclosed
663,Chef de Partie - Dublin city,Broadline Recruiters,"Dublin, County Dublin",€17.00 per hour
664,Chef de Partie - Dublin city,Broadline Recruiters,"Dublin, County Dublin",€17.00 per hour
665,Sous Chefs,So Hotels,Connacht,"€35,000 per annum"
666,Chef de Partie,Opium,"Dublin, County Dublin",€13.00 - €15.00 per hour
667,Chef de Partie 4 & 5-Star Hotels Leinster,Broadline Recruiters,"Kildare, County Kildare","€35,000 - €40,000 per annum"
668,Sous Chef,Fitzgerald Group Head Office,"Cork, County Cork",€ Not Disclosed
669,Chef de Partie,Excel Recruitment,"Dublin, County Dublin","€34,000 - €36,000 per annum"
670,Sous Chef,Noel Group,"Waterford, County Waterford","€40,000 per annum"
671,Breakfast Chef,Powerscourt Hotel,"Enniskerry, County Wicklow",€ Not Disclosed
672,Chef de Partie Zurich Switzerland,Paddy Reilly's Bar,Europe,"€60,000 - €65,000 per annum"
673,Chef de Partie,Noel Group,"Carlow, County Carlow","€35,000 per annum"
674,Chef de Partie,Excel Recruitment,County Meath,"€35,000 - €36,000 per annum"
675,Chef De Partie,"The College Green Hotel Dublin, Autograph Dublin","Dublin, County Dublin",€ Not Disclosed
676,Chef de Partie,Falls Hotel,"Ennistimon, Clare",€ Not Disclosed
677,Sous Chef,Noel Group,"Limerick, County Limerick","€40,000 - €45,000 per annum"
678,Pastry Senior Chef De Partie,The Westbury,"Dublin, County Dublin",€ Not Disclosed
679,Sous Chef,Noel Group,"Dublin, County Dublin","€45,000 per annum"
680,Chef de Partie,Kilkenny River Court Hotel,"Kilkenny, County Kilkenny",€ Not Disclosed
681,Chef de partie,Locke Hotels,"Dublin, County Dublin","€32,000 - €35,000 per annum"
682,Chef de Partie,Powerscourt Hotel,"South Dublin, County Dublin",€ Not Disclosed
683,Chef de Partie,Ballynahinch Castle,"Galway, Republic of Ireland",€ Not Disclosed
684,"Head Chef, Sous Chef, and Chef de Partie at Irish Gastro Bar in Switzerland",Flanagan's Irish Pub House of Drinks,Europe,"€60,000 - €75,000 per annum"
685,Chef de Partie,Clayton Hotel Galway,"Galway, Republic of Ireland",€ Not Disclosed
686,Chef de Partie,The Lodge at Ashford Castle,County Mayo,€ Not Disclosed
687,Chef de Partie,The K Club,"Kildare, County Kildare",€ Not Disclosed
688,Breakfast Chef,Maldron Hotel Smithfield,"Dublin, County Dublin",€ Not Disclosed
689,Chef De Partie,The Croke Park,"Drumcondra, County Dublin",€ Not Disclosed
690,Sous Chef,The Old Quarter Group,"Limerick, County Limerick",€ Not Disclosed
691,Chef de Partie,Compass Group.,County Dublin,€16.00 per hour
692,Chef de Partie,The Green,"County Dublin, Dublin",€ Not Disclosed
693,Breakfast Chef,Kilkea Castle,County Kildare,€ Not Disclosed
694,Chef de Partie,O’Donoghue Ring Hotels,"Killarney, County Kerry",€ Not Disclosed
695,Chef De Partie,Red Cow Moran Hotel Moran Hotel Group,"Dublin, County Dublin",€ Not Disclosed
696,Chef de Partie,Park Inn by Radisson,"Shannon, Clare",€ Not Disclosed
697,Chef de Partie,Park Inn by Radisson,"Shannon, Clare",€ Not Disclosed
698,Breakfast Chef,Killashee Hotel & Spa,"Naas, County Kildare",€ Not Disclosed
699,Chef de Partie,Ballymascanlon Hotel & Golf Resort,"Ballymascanlan, County Louth",€ Not Disclosed
